"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5217","Calendar validations","chromium","Sun Apr 06 08:52:27 PKT 2025","passed","Sun Apr 06 08:52:32 PKT 2025","","Calender.spec.js","",""
"","30637","Login","chromium","Sun Apr 06 08:52:57 PKT 2025","broken","Sun Apr 06 08:53:27 PKT 2025","Login Tests","ClientAppPageObject.spec.js","",""
"","4309","Login with incorrect credentials should show error","chromium","Sun Apr 06 08:54:31 PKT 2025","passed","Sun Apr 06 08:54:35 PKT 2025","Login Tests","UIBasicTest.spec.js","",""
"","48049","Login","chromium","Sun Apr 06 08:52:51 PKT 2025","passed","Sun Apr 06 08:53:39 PKT 2025","Login Tests","ClientApp.spec.js","",""
"","15208","Child Windows Handle","chromium","Sun Apr 06 08:52:33 PKT 2025","passed","Sun Apr 06 08:52:48 PKT 2025","","ChildWindow.spec.js","",""
"","26855","Login","chromium","Sun Apr 06 08:52:27 PKT 2025","passed","Sun Apr 06 08:52:54 PKT 2025","Login Tests","APITesting.spec.js","",""
"","8334","Login","chromium","Sun Apr 06 08:54:50 PKT 2025","passed","Sun Apr 06 08:54:58 PKT 2025","Login Tests","UseofGetBy.spec.js","",""
"","17455","Calendar validations","chromium","Sun Apr 06 08:54:12 PKT 2025","passed","Sun Apr 06 08:54:30 PKT 2025","","HideShowValidation.spec.js","",""
"","11256","Complete login, order placement, and order verification","chromium","Sun Apr 06 08:53:30 PKT 2025","passed","Sun Apr 06 08:53:42 PKT 2025","Login and Order Flow Tests","ClientAppSecond.spec.js","",""
"","54968","Frame validation","chromium","Sun Apr 06 08:53:44 PKT 2025","broken","Sun Apr 06 08:54:39 PKT 2025","Frames","Frames.spec.js","",""
"","7614","Login with correct credentials should redirect to dashboard","chromium","Sun Apr 06 08:54:36 PKT 2025","passed","Sun Apr 06 08:54:43 PKT 2025","Login Tests","UIBasicTest.spec.js","",""
"","28031","Calendar validations","chromium","Sun Apr 06 08:53:43 PKT 2025","passed","Sun Apr 06 08:54:11 PKT 2025","","DialogPopup.spec.js","",""
"","4206","UI Operations","chromium","Sun Apr 06 08:54:44 PKT 2025","passed","Sun Apr 06 08:54:48 PKT 2025","Login Tests","UIBasicTest.spec.js","",""
